{34541677==, 17698956==, 10069612=<>, 278093318==, 259637983=<>, 21842357=<>, 7867072=<>},1420582442643
{193232854=<>, 19943507=<>, 46213956=<>, 17070252=<>, 44426926=<>, 27091328==, 89787221=<>},1420582502643
{52197340=<>, 55252152=<>, 15980503=<>, 134772528=<>, 22948692=<>, 4380591=<>, 525187154=<>},1420582562643
{1581203119=<>, 1381345892==, 19274498=<>, 186222238=<>, 512403075=<>, 15111389=<>, 8861752==},1420582622643
{292289403=<>, 8312862=<>, 202777395=<>, 16262688=<>, 140080129=<>, 384940104=<>, 20146313=<>},1420582682643
{17698956=<>, 24206345=<>, 166715703=<>, 73417273=<>, 17166894=<>, 49437246==, 18718162=<>},1420582742643
{36440780=<>, 16045956=<>, 326821147=<>, 188077169=<>, 152341106=<>, 24849868==, 34409159=<>},1420582802643
{21986815==, 373316165=<>, 34454970=<>, 12413892=<>, 240818630==, 14811775=<>, 23973187=<>},1420582862643
{14192680=<>, 108039570==, 349227445==, 174890917=<>, 1618007706=<>, 20096207=<>, 96184837=<>},1420582922643
{114872969=<>, 50672288=<>, 180026716=<>, 620340592=<>, 33320626=<>, 17145499=<>, 92733433=<>},1420582982643
{824157=<>, 14845376=<>, 8923182=<>, 140080129=<>, 61733092=<>, 199358175=<>, 12273252=<>},1420583042643
{17698956=<>, 23354464=<>, 162041294=<>, 338262255==, 17810599=<>, 811303=<>, 104291835=<>},1420583102643
{1381345892==, 384479689=<>, 17604456=<>, 171716921=<>, 278093318=<>, 24849868=<>, 57333521=<>},1420583162643
{15445129=<>, 2200632505==, 60863619=<>, 14787749=<>, 54988878=<>, 18725415=<>, 309220197=<>},1420583222643
{19205893=<>, 183807568=<>, 20745130=<>, 21796484=<>, 44426926=<>, 195897346=<>, 525187154=<>},1420583282643
{93644596=<>, 45710831=<>, 19964088=<>, 15920875=<>, 2703171=<>, 22948692=<>, 8861752==},1420583342643
{25242416==, 193232854=<>, 44682474=<>, 259637983==, 21842357=<>, 140080129=<>, 15856366=<>},1420583402643
{34541677==, 69020299=<>, 18971670=<>, 35947725=<>, 50023090=<>, 92791146=<>, 24705687=<>},1420583462643
